violation_id,violation_type,date_time,status,violation_category_id,drivers_licence
1,Illegal parking,2020-08-10,registered,1,NM-720679-18-46-57-KO
2,Illegal parking,2022-07-17,closed,2,IX-702005-22-87-45-JN
3,Speeding,2018-07-10,registered,3,TV-335783-19-84-14-RO
4,Reckless driving,2020-07-11,closed,4,GQ-928995-44-46-58-VF
5,Speeding,2019-05-01,closed,5,KN-372650-41-75-36-SV
6,Illegal parking,2022-12-30,registered,6,FV-513584-98-11-07-JI
7,Reckless driving,2023-09-25,registered,7,OY-099760-01-89-25-OC
8,Failure to yield,2016-12-21,closed,8,TT-661361-54-52-62-CO
9,Reckless driving,2019-05-11,registered,9,EN-319566-23-68-21-NJ
10,Driving under the influence,2023-04-09,registered,10,UQ-278972-15-41-92-PQ
11,Driving under the influence,2014-06-12,registered,4,NP-931999-76-69-95-XP
12,Running a red light,2017-03-18,closed,4,QO-912890-05-98-48-KY
13,Failure to yield,2016-01-10,registered,4,PD-796662-93-86-38-UL
14,Driving under the influence,2018-08-14,registered,4,PY-159181-67-58-71-RW
15,Failure to yield,2019-10-18,registered,4,IZ-878234-51-82-24-IC
16,Reckless driving,2020-11-21,closed,4,IX-012690-24-89-52-AG
17,Running a red light,2023-03-29,registered,4,SU-358698-43-29-46-VY
18,Speeding,2014-10-07,closed,4,WC-278663-26-33-41-HU
19,Running a red light,2014-09-15,registered,4,HT-904788-50-89-20-BI
20,Illegal parking,2017-12-10,registered,4,ZB-662710-37-20-28-JS
21,Speeding,2020-01-03,registered,4,OH-309875-77-83-47-HA
22,Illegal parking,2014-12-27,registered,4,UJ-558493-22-53-30-KW
23,Driving under the influence,2014-09-06,registered,4,TH-333287-57-87-62-BV
24,Speeding,2015-03-28,registered,4,DE-196459-86-75-80-DC
25,Illegal parking,2016-12-13,registered,4,RP-101220-63-42-24-ED
26,Running a red light,2021-09-10,registered,4,JJ-014768-00-55-23-BP
27,Illegal parking,2023-04-08,registered,4,XN-292890-09-68-39-KZ
28,Failure to yield,2022-06-09,closed,4,MW-830939-95-17-22-EL
29,Driving under the influence,2015-02-18,closed,4,UL-377974-31-59-47-YP
30,Driving under the influence,2022-09-03,closed,4,MM-080919-42-39-87-QV
31,Failure to yield,2021-11-29,registered,4,SX-840697-18-28-95-UU
32,Driving under the influence,2017-08-14,closed,4,PZ-305384-79-70-34-JR
33,Speeding,2022-01-15,registered,4,PC-620242-99-09-50-CJ
34,Reckless driving,2021-12-31,registered,4,UN-778210-75-23-35-RF
35,Driving under the influence,2023-06-12,closed,4,EA-085679-45-40-46-HJ
36,Reckless driving,2022-09-29,registered,4,YI-614639-36-76-37-FK
37,Illegal parking,2019-01-15,registered,4,DA-333581-27-45-68-WR
38,Speeding,2017-02-06,registered,4,KA-557383-84-77-75-GS
39,Failure to yield,2022-03-03,registered,4,MD-553403-63-54-85-TG
40,Failure to yield,2019-07-11,registered,4,BA-538743-15-26-44-VC
41,Speeding,2015-10-25,registered,4,CR-830018-38-53-57-EU
42,Failure to yield,2019-03-09,closed,4,SV-637352-67-20-96-IO
43,Illegal parking,2021-09-07,registered,4,QJ-211844-26-20-81-TY
44,Reckless driving,2017-05-17,closed,4,AR-497702-53-35-15-UV
45,Illegal parking,2019-03-09,registered,4,DH-140443-23-80-91-XJ
46,Speeding,2015-09-30,closed,4,IB-175326-20-72-16-ZL
47,Driving under the influence,2023-11-14,registered,4,DL-953363-05-82-88-JY
48,Speeding,2022-12-11,closed,4,SV-119979-72-90-77-LB
49,Reckless driving,2021-04-04,closed,4,ZE-110645-44-15-82-HS
50,Illegal parking,2023-01-10,registered,4,TH-308304-51-00-92-QE
51,Reckless driving,2021-03-02,registered,4,NM-069329-27-37-34-GD
52,Speeding,2016-12-30,registered,4,VQ-704937-04-88-56-XE
