client_id,name,type_of_property,edrpou_code,ipn_code,address,phone_number,contact_person,other_details
1,Client1,Residential,,609262680,257 Main St,5620380035,Person42,Details9
2,Client2,Commercial,669231416,,423 Pine St,6494514307,Person33,Details14
3,Client3,Residential,,897428595,42 Elm St,4655025431,Person1,Details8
4,Client4,Residential,,807934597,847 Main St,2018874590,Person14,Details14
5,Client5,Residential,,537944929,647 Main St,9751551486,Person34,Details12
6,Client6,Commercial,714046808,,67 Oak St,9789560783,Person23,Details17
7,Client7,Commercial,627257996,,631 Market St,7433735774,Person50,Details15
8,Client8,Commercial,352260710,,152 Market St,5389588887,Person49,Details6
9,Client9,Commercial,456132008,,412 Market St,8422994931,Person7,Details3
10,Client10,Residential,,705781321,825 Oak St,9988381417,Person10,Details7
11,Client11,Residential,,638760802,136 Market St,8602137837,Person24,Details18
12,Client12,Commercial,604340188,,916 Elm St,6158393381,Person20,Details5
13,Client13,Residential,,410545272,132 Oak St,7871206795,Person1,Details2
14,Client14,Residential,,730443393,831 Market St,8682755045,Person20,Details11
15,Client15,Commercial,837210425,,165 Pine St,8298098917,Person26,Details3
16,Client16,Commercial,762041799,,674 Main St,5877415259,Person1,Details19
17,Client17,Residential,,366161137,824 Elm St,5917599099,Person15,Details11
18,Client18,Commercial,417635437,,509 Pine St,2830984131,Person7,Details16
19,Client19,Residential,,471587810,185 Main St,6011919168,Person17,Details8
20,Client20,Residential,,642648778,307 Elm St,5401169478,Person19,Details6
21,Client21,Commercial,390487825,,891 Pine St,2525861409,Person21,Details4
22,Client22,Residential,,843530114,317 Main St,1955077701,Person39,Details10
23,Client23,Commercial,933009143,,892 Pine St,0115857189,Person16,Details11
24,Client24,Residential,,769740438,425 Market St,5479706550,Person36,Details2
25,Client25,Residential,,842016301,343 Main St,1872709169,Person50,Details12
26,Client26,Residential,,390405625,573 Main St,0729789220,Person23,Details16
27,Client27,Residential,,581931676,22 Oak St,3102177421,Person16,Details20
28,Client28,Residential,,867886104,601 Oak St,9186584725,Person19,Details20
29,Client29,Residential,,508822188,726 Elm St,2168087354,Person17,Details18
30,Client30,Residential,,804727633,694 Elm St,2478968594,Person49,Details20
31,Client31,Commercial,645185098,,621 Oak St,1229815002,Person12,Details6
32,Client32,Residential,,177460105,414 Pine St,4444679474,Person45,Details10
33,Client33,Commercial,817310781,,339 Main St,0060669671,Person24,Details20
34,Client34,Residential,,726902184,37 Pine St,9664908928,Person16,Details6
35,Client35,Residential,,449134021,443 Pine St,6913624614,Person43,Details18
36,Client36,Residential,,845275048,750 Elm St,7952140227,Person16,Details6
37,Client37,Residential,,565445359,16 Oak St,8720000170,Person9,Details8
38,Client38,Residential,,549057059,974 Oak St,3697259192,Person49,Details8
39,Client39,Commercial,985974466,,885 Pine St,6562550419,Person33,Details20
40,Client40,Residential,,336300356,938 Market St,5482312762,Person36,Details4
41,Client41,Commercial,383268065,,85 Market St,1567666324,Person30,Details20
42,Client42,Residential,,244958258,24 Elm St,2624969111,Person26,Details7
43,Client43,Residential,,837798814,143 Market St,5828014851,Person6,Details1
44,Client44,Commercial,812775151,,523 Pine St,2491517530,Person1,Details19
45,Client45,Residential,,786752687,596 Pine St,3594170925,Person1,Details8
46,Client46,Residential,,974078433,432 Main St,5291017182,Person7,Details5
47,Client47,Commercial,230540099,,972 Pine St,5321114386,Person28,Details6
48,Client48,Commercial,510432476,,556 Main St,2401191507,Person25,Details3
49,Client49,Residential,,538718357,368 Oak St,9886801567,Person42,Details1
50,Client50,Residential,,333120645,510 Main St,4885544759,Person1,Details4
51,Client51,Residential,,262585973,460 Elm St,5072643610,Person15,Details10
52,Client52,Residential,,357044791,201 Main St,5140105556,Person11,Details10
53,Client53,Residential,,154622722,410 Market St,5996557099,Person49,Details18
54,Client54,Residential,,864860945,375 Market St,3626882187,Person27,Details19
55,Client55,Residential,,646436094,707 Oak St,4030145830,Person7,Details18
56,Client56,Residential,,551640299,746 Market St,1993231914,Person8,Details16
57,Client57,Residential,,306077668,779 Oak St,3609596106,Person19,Details10
58,Client58,Residential,,722584764,164 Market St,6934148779,Person43,Details19
59,Client59,Commercial,294755830,,822 Elm St,1549778722,Person2,Details14
60,Client60,Residential,,602168297,684 Elm St,2806441446,Person10,Details3
61,Client61,Residential,,631373832,509 Elm St,9650017360,Person13,Details5
62,Client62,Commercial,622024968,,815 Pine St,0036235031,Person1,Details19
63,Client63,Residential,,205202189,205 Elm St,8984160460,Person17,Details14
64,Client64,Residential,,896644885,777 Oak St,9060050933,Person5,Details9
65,Client65,Residential,,195698904,745 Oak St,6028309357,Person35,Details6
66,Client66,Residential,,469229348,432 Elm St,2196761353,Person22,Details6
67,Client67,Commercial,230371960,,998 Elm St,3805497476,Person50,Details3
68,Client68,Residential,,283076583,59 Oak St,2337479430,Person37,Details9
69,Client69,Commercial,324085956,,363 Market St,7413970941,Person26,Details6
70,Client70,Residential,,714783126,768 Pine St,9557281276,Person40,Details1
71,Client71,Commercial,958080147,,431 Oak St,8630457891,Person3,Details11
72,Client72,Residential,,717368891,982 Elm St,3131456168,Person10,Details17
73,Client73,Residential,,297750379,256 Elm St,0668994328,Person9,Details10
74,Client74,Commercial,521329322,,508 Elm St,4106322757,Person37,Details15
75,Client75,Commercial,264679519,,45 Market St,5720729105,Person27,Details6
76,Client76,Residential,,136040095,986 Main St,8734037580,Person13,Details2
77,Client77,Residential,,948865564,528 Main St,6557100867,Person6,Details9
78,Client78,Residential,,941891562,31 Market St,9515599342,Person17,Details14
79,Client79,Residential,,402480428,449 Market St,3069058620,Person21,Details14
80,Client80,Commercial,394956085,,84 Main St,8355961819,Person22,Details19
81,Client81,Residential,,457564666,789 Oak St,4711051645,Person28,Details14
82,Client82,Commercial,279628657,,947 Elm St,0991736828,Person1,Details6
83,Client83,Commercial,863460888,,934 Pine St,5260572643,Person47,Details3
84,Client84,Residential,,240980181,558 Elm St,2601276328,Person2,Details17
85,Client85,Commercial,508364860,,180 Market St,8057931292,Person28,Details16
86,Client86,Residential,,570775852,1 Main St,2886205496,Person35,Details15
87,Client87,Residential,,140069444,307 Oak St,3480461606,Person5,Details5
88,Client88,Residential,,345882847,551 Elm St,1988708863,Person19,Details15
89,Client89,Commercial,928339506,,559 Oak St,6878912436,Person46,Details11
90,Client90,Commercial,620061177,,237 Oak St,0488972555,Person38,Details3
91,Client91,Residential,,470189212,670 Main St,9613783456,Person12,Details2
92,Client92,Residential,,817788670,199 Main St,3378125950,Person39,Details1
93,Client93,Residential,,121120948,58 Main St,3052640708,Person45,Details8
94,Client94,Residential,,965745515,552 Market St,6912252946,Person15,Details14
95,Client95,Residential,,727006346,802 Main St,3140322516,Person45,Details20
96,Client96,Residential,,494023480,667 Main St,2619085479,Person21,Details17
97,Client97,Commercial,421106895,,449 Main St,3517140513,Person32,Details15
98,Client98,Residential,,211301623,92 Elm St,8674082286,Person45,Details9
99,Client99,Commercial,791731139,,557 Pine St,2130491383,Person14,Details14
100,Client100,Commercial,191806967,,478 Market St,0870600870,Person7,Details10
101,Client101,Residential,,559652109,18 Pine St,1030952031,Person1,Details20
102,Client102,Commercial,251928117,,835 Main St,9646324144,Person13,Details18
103,Client103,Residential,,864616414,669 Oak St,3566267514,Person46,Details11
104,Client104,Residential,,664724042,242 Elm St,4722181543,Person38,Details4
105,Client105,Commercial,329798453,,16 Main St,5208076950,Person32,Details8
106,Client106,Residential,,376587155,371 Market St,1359025317,Person23,Details17
107,Client107,Commercial,216167441,,698 Oak St,0546465150,Person16,Details20
108,Client108,Residential,,805802020,153 Market St,9699820832,Person4,Details11
109,Client109,Commercial,173333645,,3 Pine St,3783467157,Person42,Details6
110,Client110,Residential,,702603732,126 Market St,0900948975,Person36,Details12
111,Client111,Residential,,448491513,120 Oak St,8797049780,Person12,Details20
112,Client112,Residential,,720127369,707 Elm St,5809335985,Person42,Details14
113,Client113,Residential,,858980853,209 Oak St,7054187210,Person3,Details19
114,Client114,Residential,,559304664,710 Elm St,5505767516,Person11,Details17
115,Client115,Residential,,675123699,607 Market St,5752233663,Person35,Details19
116,Client116,Residential,,244758376,728 Market St,0356311236,Person21,Details9
117,Client117,Commercial,484599408,,659 Main St,7042056137,Person8,Details13
118,Client118,Residential,,957557573,221 Market St,2640115539,Person43,Details17
119,Client119,Commercial,254261891,,954 Pine St,1859570732,Person17,Details16
120,Client120,Residential,,157137556,49 Main St,8270622239,Person4,Details8
121,Client121,Residential,,867829646,189 Market St,4291408768,Person12,Details16
122,Client122,Residential,,684579236,473 Elm St,1013430084,Person12,Details12
123,Client123,Residential,,296815346,271 Pine St,9513969559,Person21,Details16
124,Client124,Residential,,775150296,780 Main St,2541743510,Person26,Details17
125,Client125,Commercial,269039173,,2 Market St,4120568395,Person7,Details10
126,Client126,Residential,,752437053,265 Elm St,0231153097,Person8,Details5
127,Client127,Residential,,746576584,231 Oak St,8388623749,Person39,Details20
128,Client128,Commercial,821106085,,78 Market St,7688679941,Person2,Details16
129,Client129,Residential,,536731510,72 Market St,2970749363,Person24,Details17
130,Client130,Residential,,261586382,991 Elm St,7435043563,Person40,Details5
131,Client131,Residential,,628311409,296 Oak St,0012957066,Person41,Details6
132,Client132,Commercial,424802257,,613 Oak St,5523992981,Person28,Details13
133,Client133,Residential,,408960760,372 Main St,5706080944,Person18,Details3
134,Client134,Residential,,823974928,509 Elm St,9074716529,Person39,Details8
135,Client135,Residential,,698201798,733 Pine St,9388749755,Person24,Details20
136,Client136,Commercial,264642052,,525 Market St,3965654227,Person17,Details20
137,Client137,Residential,,464903105,434 Oak St,0496647850,Person30,Details14
138,Client138,Residential,,234727407,926 Market St,9436112540,Person38,Details10
139,Client139,Residential,,451445860,689 Pine St,7828104771,Person6,Details15
140,Client140,Residential,,912179238,731 Main St,4711717525,Person45,Details8
141,Client141,Residential,,277895635,384 Main St,7020500977,Person10,Details3
142,Client142,Residential,,349771749,718 Pine St,7475276811,Person6,Details14
143,Client143,Commercial,405179265,,975 Pine St,5157180789,Person36,Details2
144,Client144,Residential,,347959830,180 Elm St,3535117046,Person41,Details3
145,Client145,Residential,,395313574,166 Pine St,2070409029,Person11,Details17
146,Client146,Residential,,435994512,890 Market St,6861552397,Person29,Details3
